review_number,priority,canonical_id,category,english,hindi_current,translation_state,source_note,human_decision,human_suggested_hindi,human_comments
1,CRITICAL,OUTPUT.MUHURTA.RECOMMENDATION_NOT_AUTHORIZED,MUHURTA_SAFETY,"Muhurta recommendations are not authorized; only foundation facts and inactive rule metadata are available.","मुहूर्त की सिफारिशें अधिकृत नहीं हैं; केवल आधारभूत तथ्य और निष्क्रिय नियम-मेटाडेटा उपलब्ध हैं।",MACHINE_DRAFT,"Canonical English message and HI-001 locale pack; presentation-only.",,,
2,CRITICAL,SAFETY.ASHTAKAVARGA_RESEARCH_ONLY,GOVERNANCE_STATE,"Ashtakavarga remains research-only.","अष्टकवर्ग अभी केवल शोध हेतु है।",MACHINE_DRAFT,"Canonical English message and HI-001 locale pack; Ashtakavarga state remains unchanged.",,,
3,CRITICAL,SAFETY.D20_INTERPRETATION_NOT_VALIDATED,GOVERNANCE_STATE,"D20 interpretation is not validated.","D20 की व्याख्या सत्यापित नहीं है।",MACHINE_DRAFT,"Canonical English message and HI-001 locale pack; D20 calculation and interpretation remain separate.",,,
4,CRITICAL,SAFETY.NO_PREDICTIVE_CLAIM,PREDICTION_SAFETY,"No predictive claim is made.","कोई भविष्यवाणी संबंधी दावा नहीं किया गया है।",MACHINE_DRAFT,"Canonical English message and HI-001 locale pack; prediction state unchanged.",,,
5,CRITICAL,STATUS.NOT_AUTHORIZED,GOVERNANCE_STATE,Not authorized,अधिकृत नहीं,MACHINE_DRAFT,"Canonical status label; exact Hindi negation is required.",,,
6,CRITICAL,STATUS.NOT_VALIDATED,GOVERNANCE_STATE,Not validated,सत्यापित नहीं,MACHINE_DRAFT,"Canonical status label; exact Hindi negation is required.",,,
7,CRITICAL,STATUS.RESEARCH_ONLY,GOVERNANCE_STATE,Research-only,केवल शोध हेतु,MACHINE_DRAFT,"Canonical status label; research boundary inherited unchanged.",,,
8,CRITICAL,STATUS.INSUFFICIENT_EVIDENCE,EVIDENCE_STATE,Insufficient evidence,अपर्याप्त साक्ष्य,MACHINE_DRAFT,"Canonical evidence-state label; no evidence status changed.",,,
9,TECHNICAL,TERM.PLANET.SUN,PLANET,Sun,सूर्य,MACHINE_DRAFT,"Canonical term registry; Surya / Surya; aliases: sun, surya, ravi.",,,
10,TECHNICAL,TERM.PLANET.MOON,PLANET,Moon,चंद्र,MACHINE_DRAFT,"Canonical term registry; Chandra / Chandra; aliases: moon, chandra, soma.",,,
11,TECHNICAL,TERM.PLANET.MARS,PLANET,Mars,मंगल,MACHINE_DRAFT,"Canonical term registry; Mangala / Mangala; aliases: mars, mangala, kuja.",,,
12,TECHNICAL,TERM.PLANET.MERCURY,PLANET,Mercury,बुध,MACHINE_DRAFT,"Canonical term registry; Budha / Budha; aliases: mercury, budha.",,,
13,TECHNICAL,TERM.PLANET.JUPITER,PLANET,Jupiter,गुरु,MACHINE_DRAFT,"Canonical term registry; Guru / Guru; aliases: jupiter, guru, brihaspati.",,,
14,TECHNICAL,TERM.PLANET.VENUS,PLANET,Venus,शुक्र,MACHINE_DRAFT,"Canonical term registry; Shukra / Shukra; aliases: venus, shukra.",,,
15,TECHNICAL,TERM.PLANET.SATURN,PLANET,Saturn,शनि,MACHINE_DRAFT,"Canonical term registry; Shani / Shani; aliases: saturn, shani.",,,
16,TECHNICAL,TERM.PLANET.RAHU,PLANETARY_NODE,Rahu,राहु,MACHINE_DRAFT,"Canonical term registry; Rahu / Rahu; alias: rahu.",,,
17,TECHNICAL,TERM.PLANET.KETU,PLANETARY_NODE,Ketu,केतु,MACHINE_DRAFT,"Canonical term registry; Ketu / Ketu; alias: ketu.",,,
18,TECHNICAL,TERM.SIGN.ARIES,RASHI,Aries,मेष,MACHINE_DRAFT,"Canonical term registry; aliases: aries, mesha.",,,
19,TECHNICAL,TERM.SIGN.TAURUS,RASHI,Taurus,वृषभ,MACHINE_DRAFT,"Canonical term registry; aliases: taurus, vrishabha.",,,
20,TECHNICAL,TERM.SIGN.GEMINI,RASHI,Gemini,मिथुन,MACHINE_DRAFT,"Canonical term registry; aliases: gemini, mithuna.",,,
21,TECHNICAL,TERM.SIGN.CANCER,RASHI,Cancer,कर्क,MACHINE_DRAFT,"Canonical term registry; aliases: cancer, karka.",,,
22,TECHNICAL,TERM.SIGN.LEO,RASHI,Leo,सिंह,MACHINE_DRAFT,"Canonical term registry; aliases: leo, simha.",,,
23,TECHNICAL,TERM.SIGN.VIRGO,RASHI,Virgo,कन्या,MACHINE_DRAFT,"Canonical term registry; aliases: virgo, kanya.",,,
24,TECHNICAL,TERM.SIGN.LIBRA,RASHI,Libra,तुला,MACHINE_DRAFT,"Canonical term registry; aliases: libra, tula.",,,
25,TECHNICAL,TERM.SIGN.SCORPIO,RASHI,Scorpio,वृश्चिक,MACHINE_DRAFT,"Canonical term registry; aliases: scorpio, vrischika.",,,
