symbol,listing_date,lagna,lagna_lord,moon_sign,mahadasha,antardasha,maha_end_date,yogas,astro_score,astro_action
20MICRONS,2008-10-06,Scorpio,Mars,Sagittarius,Venus,Saturn,2032-06-03,Gaja Kesari|Dhana Yoga|Raja Yoga|Viparita Raja|Kemdrum,56.0,BUY
21STCENMGM,1995-05-03,Gemini,Mercury,Taurus,Jupiter,Ketu,2034-10-25,Gaja Kesari|Neecha Bhanga,6.0,CAUTION
360ONE,2019-09-19,Libra,Venus,Aries,Moon,Mars,2035-06-05,Raja Yoga|Viparita Raja|Kemdrum,3.0,CAUTION
3BBLACKBIO,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
3IINFOLTD,2021-10-22,Scorpio,Mars,Aries,Venus,Moon,2028-06-23,Gaja Kesari|Raja Yoga|Raja Yoga|Kemdrum|Neecha Bhanga,56.0,BUY
3MINDIA,2004-08-13,Virgo,Mercury,Gemini,Saturn,Moon,2034-03-10,Raja Yoga|Kala Sarpa,23.0,HOLD
3PLAND,1995-07-19,Leo,Sun,Pisces,Sun,Jupiter,2029-09-12,Dhana Yoga|Viparita Raja|Kemdrum,27.0,HOLD
5PAISA,2017-11-16,Sagittarius,Jupiter,Libra,Rahu,Saturn,2037-04-27,Gaja Kesari|Dhana Yoga|Raja Yoga|Neecha Bhanga|Kala Sarpa,53.0,BUY
63MOONS,2005-06-20,Cancer,Moon,Scorpio,Mercury,Moon,2035-03-27,Kemdrum,-10.0,EXIT
A2ZINFRA,2010-12-23,Capricorn,Saturn,Cancer,Saturn,Mars,2032-09-13,Kemdrum,12.0,CAUTION
AAATECH,2022-11-28,Sagittarius,Jupiter,Capricorn,Moon,Jupiter,2033-01-15,Raja Yoga|Viparita Raja|Kemdrum|Parivartana,45.0,BUY
AADHARHFC,2024-05-15,Gemini,Mercury,Cancer,Mercury,Mercury,2027-11-03,Raja Yoga|Kemdrum,38.0,HOLD
AAKASH,2020-09-29,Scorpio,Mars,Aquarius,Rahu,Saturn,2030-11-25,Viparita Raja,23.0,HOLD
AARNAV,2026-02-25,Aries,Mars,Taurus,Moon,Moon,2027-10-09,Raja Yoga|Raja Yoga|Raja Yoga,69.0,BUY
AARON,2020-11-06,Sagittarius,Jupiter,Gemini,Jupiter,Mercury,2034-10-25,Gaja Kesari|Raja Yoga|Kemdrum|Neecha Bhanga|Parivartana,21.0,HOLD
AARTIDRUGS,2003-09-19,Libra,Venus,Gemini,Jupiter,Saturn,2037-12-01,Raja Yoga|Kemdrum|Parivartana,16.0,HOLD
AARTIIND,1995-02-08,Pisces,Jupiter,Taurus,Rahu,Ketu,2033-08-19,Gaja Kesari|Kemdrum,-3.0,CAUTION
AARTIPHARM,2023-01-30,Pisces,Jupiter,Taurus,Moon,Moon,2035-11-26,Viparita Raja|Kemdrum,19.0,HOLD
AARTISURF,2020-07-14,Leo,Sun,Aries,Venus,Moon,2041-08-10,Dhana Yoga,46.0,BUY
AARVI,2020-06-24,Leo,Sun,Cancer,Mercury,Venus,2040-01-17,Gaja Kesari|Dhana Yoga|Raja Yoga|Viparita Raja|Neecha Bhanga,83.0,BUY
AAVAS,2018-10-08,Scorpio,Mars,Virgo,Moon,Mercury,2029-09-22,Raja Yoga|Raja Yoga|Viparita Raja,73.0,BUY
ABB,1995-02-08,Pisces,Jupiter,Taurus,Rahu,Ketu,2033-08-19,Gaja Kesari|Kemdrum,-3.0,CAUTION
