symbol,news_count_7d,sentiment_7d,bullish_count,bearish_count,top_theme,latest_headline,latest_date,sentiment_label,as_of_date
ADANIENT,3,0.6666666666666666,2,0,"CAPITAL_RAISING,GREEN_ENERGY,INFRASTRUCTURE_BUILD","Adani takes on Birla, Vedanta with $11.5 billion aluminium bet",2026-07-02,BULLISH,2026-07-03
ADOWS,1,1.0,1,0,CAPITAL_RAISING,"Adani Enterprises launches $1.05 billion share sale, begins second phase of  ₹16,600 crore fundraising",2026-07-02,BULLISH,2026-07-03
ANANTRAJ,1,1.0,1,0,DIGITAL_INDIA,"Top Gainers &amp; Losers on 2 July: Zensar Tech, TCS, Coforge, Apollo Tyres, Bharat Forge, Anant Raj among top gainers",2026-07-02,BULLISH,2026-07-03
APOLLOTYRE,1,1.0,1,0,DIGITAL_INDIA,"Top Gainers &amp; Losers on 2 July: Zensar Tech, TCS, Coforge, Apollo Tyres, Bharat Forge, Anant Raj among top gainers",2026-07-02,BULLISH,2026-07-03
AXISBANK,1,1.0,1,0,"DIGITAL_INDIA,FINTECH_INFRASTR",New KPI on the block: Indian companies from banking to consulting start appraising leaders on AI implementation,2026-07-02,BULLISH,2026-07-03
BAJFINANCE,1,0.0,0,0,"CAPEX_CYCLE,SMART_CITIES","Adani takes on Birla, Vedanta with $11.5 billion aluminium bet",2026-07-02,NEUTRAL,2026-07-03
BANKNIFTY,1,0.0,0,0,"INTEREST_RATE_CYCLE,CAPEX_CYCLE,EXPORT_GROWTH",Tight funding norms for prop traders may hit expiry day volumes,2026-07-02,NEUTRAL,2026-07-03
BHARATFORG,1,1.0,1,0,DIGITAL_INDIA,"Top Gainers &amp; Losers on 2 July: Zensar Tech, TCS, Coforge, Apollo Tyres, Bharat Forge, Anant Raj among top gainers",2026-07-02,BULLISH,2026-07-03
BLUECHIP,1,0.0,0,0,"QUALITY_GROWTH,CAPEX_CYCLE,PREMIUMISATION",Govt eases Quality Control Order rules: Which industry segments are likely to get relief?,2026-06-26,NEUTRAL,2026-07-03
BLUESTAR,1,-1.0,0,1,"CAPEX_CYCLE,AGRITECH,GREEN_ENERGY",Room AC firms set to have a moment in the sun?,2026-07-02,BEARISH,2026-07-03
CDSSL,1,1.0,1,0,DIGITAL_INDIA,"Stocks to buy or sell: Osho Krishan of Angel One suggests buying CDSL, Indian Hotels shares on 2 July",2026-07-02,BULLISH,2026-07-03
CIPLA,1,1.0,1,0,"DEFENCE_ELECTRONICS,FINANCIALISATION,HEALTHCARE_EXPANSION","Expert view: Broader market to remain range-bound in medium term, says SKG Investment's Director",2026-07-02,BULLISH,2026-07-03
COALINDIALTD,1,1.0,1,0,"CAPITAL_EXPENDITURE_INDUSTRY,INDIAN_ECONOMY",Coal India's June supplies to power sector rise 5.9% on strong electricity demand,2026-07-02,BULLISH,2026-07-03
COFORGE,1,1.0,1,0,DIGITAL_INDIA,"Top Gainers &amp; Losers on 2 July: Zensar Tech, TCS, Coforge, Apollo Tyres, Bharat Forge, Anant Raj among top gainers",2026-07-02,BULLISH,2026-07-03
CONCOR,1,1.0,1,0,"FINANCIALISATION,CAPEX_CYCLE",ICICI Prudential Mutual Fund raises stake to 5.24% in Container Corporation of India,2026-07-02,BULLISH,2026-07-03
CSM,1,-1.0,0,1,CAPEX_CYCLE,"CSM Technologies share price hits 5% lower circuit after flat listing. Should you buy, sell or hold?",2026-07-02,BEARISH,2026-07-03
CSMTECH,1,0.0,0,0,SECTOR,"CSM Technologies share price makes flat debut, lists at IPO price of  ₹113",2026-07-02,NEUTRAL,2026-07-03
FSF,1,1.0,1,0,"FINANCIALISATION,EXPORT_GROWTH","Stocks to buy: Nagaraj Shetti recommends IFCI, Five-Star Business Finance shares to buy in the short-term",2026-07-02,BULLISH,2026-07-03
HCLTECH,2,0.0,0,0,"FINANCIALISATION,HEALTHTECH,WEALTH_MGMT",Govt eases Quality Control Order rules: Which industry segments are likely to get relief?,2026-07-01,NEUTRAL,2026-07-03
HDFC,1,-1.0,0,1,"DIGITAL_INDIA,FINANCIALISATION",Can WeWork India's managed-office bet pay off?,2026-07-02,BEARISH,2026-07-03
HINDBANK,1,0.0,0,0,"COMPANY_SPECIFIC,FINANCIALISATION",Who is Rajiv Kumar? The ex-poll panel chief who oversaw India's largest elections and is now set to lead HDFC Bank,2026-07-01,NEUTRAL,2026-07-03
HZC,1,-1.0,0,1,"GREEN_ENERGY,MINING",Hindustan Zinc reports record Q1 mined metal output for fifth straight year,2026-07-02,BEARISH,2026-07-03
IBULHSGFIN,1,0.0,0,0,"DEFENCE_ELECTRONICS,FINANCIALISATION,HEALTHCARE_EXPANSION","Expert view: Broader market to remain range-bound in medium term, says SKG Investment's Director",2026-07-02,NEUTRAL,2026-07-03
IFCI,1,1.0,1,0,"FINANCIALISATION,EXPORT_GROWTH","Stocks to buy: Nagaraj Shetti recommends IFCI, Five-Star Business Finance shares to buy in the short-term",2026-07-02,BULLISH,2026-07-03
INDHOTEL,1,1.0,1,0,DIGITAL_INDIA,"Stocks to buy or sell: Osho Krishan of Angel One suggests buying CDSL, Indian Hotels shares on 2 July",2026-07-02,BULLISH,2026-07-03
INDIGO,1,0.0,0,0,"TRAVEL_TOURISM,FINANCIALISATION,CONSUMER_PACKAGING",IndiGo launches ‘IndiGo Lite’ cabin baggage-only fare to offer cheaper tickets,2026-07-01,NEUTRAL,2026-07-03
INFY,7,0.2857142857142857,2,0,"DIGITAL_INDIA,FINANCIALISATION",Accenture continues to expand India footprint with  ₹355-crore Pune lease,2026-07-02,BULLISH,2026-07-03
IRCTC,1,-1.0,0,1,"DIGITAL_INDIA,FINANCIALISATION",Can WeWork India's managed-office bet pay off?,2026-07-02,BEARISH,2026-07-03
IRRELEVANT,1,0.0,0,0,"DIGITAL_INDIA,INFRASTRUCTURE_BUILD",Microsoft partners with Singapore's Lightstorm to build India-Southeast Asia undersea cable,2026-07-02,NEUTRAL,2026-07-03
KAJARIACE,1,0.0,0,0,"CAPEX_CYCLE,REAL_ESTATE_RECOVERY","Kajaria Ceramics buyback opens July 3: Check key dates, price, eligibility, and more",2026-07-02,NEUTRAL,2026-07-03
MARICO,1,1.0,1,0,"CAPEX_CYCLE, DIVIDEND_YIELD, LARGECAP_VALUE",Marico expects strong operating profit growth in Q1 as copra prices fall 45% from peak,2026-07-02,BULLISH,2026-07-03
MRF,1,0.0,0,0,"QUALITY_GROWTH,CAPEX_CYCLE,PREMIUMISATION",Govt eases Quality Control Order rules: Which industry segments are likely to get relief?,2026-06-26,NEUTRAL,2026-07-03
MUTHOOTFIN,1,-1.0,0,1,"FINANCIALISATION,HEALTHTECH,WEALTH_MGMT",Prudential-HCL joint venture becomes India’s eighth standalone health insurer,2026-07-01,BEARISH,2026-07-03
NIFTY,1,0.0,0,0,"INTEREST_RATE_CYCLE,CAPEX_CYCLE,EXPORT_GROWTH",Tight funding norms for prop traders may hit expiry day volumes,2026-07-02,NEUTRAL,2026-07-03
NIFTY50,1,0.0,0,0,"INTEREST_RATE_CYCLE,CAPEX_CYCLE,EXPORT_GROWTH",Tight funding norms for prop traders may hit expiry day volumes,2026-07-02,NEUTRAL,2026-07-03
NONE,1,0.0,0,0,,"Adon Agro Commodities IPO share allotment in focus today: GMP, 4 steps to check status online",2026-07-02,NEUTRAL,2026-07-03
NTPC,1,0.0,0,0,"CAPEX_CYCLE,SMART_CITIES","Adani takes on Birla, Vedanta with $11.5 billion aluminium bet",2026-07-02,NEUTRAL,2026-07-03
PRESTIGE,1,-1.0,0,1,"CAPEX_CYCLE,INFRASTRUCTURE_BUILD",HSBC signs 1.2 million sq ft GCC deal with Prestige Group in Bengaluru,2026-07-01,BEARISH,2026-07-03
PRUINVESCO,1,0.0,0,0,"FINANCIALISATION,HEALTHTECH,WEALTH_MGMT",Prudential-HCL joint venture becomes India’s eighth standalone health insurer,2026-07-01,NEUTRAL,2026-07-03
RELIANCE,1,-1.0,0,1,"CAPEX_CYCLE,LOGISTICS_MODERNISATION","Reliance Jio, Amazon Leo spar over proposed satellite network framework",2026-07-02,BEARISH,2026-07-03
RELINFRA,1,-1.0,0,1,"DEFENCE_ELECTRONICS,FINANCIALISATION,HEALTHCARE_EXPANSION","Expert view: Broader market to remain range-bound in medium term, says SKG Investment's Director",2026-07-02,BEARISH,2026-07-03
TATAS,1,1.0,1,0,INDIA_PLUS_ONE,"RBI inserts indirect public funds definition, Tata Sons listing back in focus",2026-07-01,BULLISH,2026-07-03
TATASTEEL,1,0.0,0,0,"CAPEX_CYCLE,SMART_CITIES","Adani takes on Birla, Vedanta with $11.5 billion aluminium bet",2026-07-02,NEUTRAL,2026-07-03
