theme,display_name,category,description,macro_driver,risk_factor,global_peer,sectors,stock_count,scored_count,strong_count,emerging_count,theme_score,theme_signal,momentum_phase,participant_leader,avg_bull_score,avg_ret_30d,avg_ret_60d,avg_ret_90d,avg_ret_365d,avg_vol_ratio,avg_ml_score,avg_accum_score,fii_flow_score,dii_flow_score,smart_money_score,price_sector_momentum,top_picks,as_of_date
SPACE_ECONOMY,Space Economy,EMERGING,"IN-SPACe licensing unlocking private launch vehicles (Skyroot, Agnikul), satellite broadband, ISRO commercialisation — India space startup boom.","IN-SPACe policy, 400+ space startups, government satellite orders","Long gestation, high capex, technology risk, few listed pure plays","SpaceX commercial satellite, Planet Labs earth observation",DEFENCE,23,23,0,11,64.29,BUILDING,CONSOLIDATING,SMART_MONEY,44.54,10.51,14.94,56.8,14.25,2.26,62.45,49.28,-34.18,-21.71,5.16,0.0,"[{""symbol"": ""PARAS"", ""bull_run_score"": 53.13, ""label"": ""EMERGING"", ""purity_score"": 0.92}, {""symbol"": ""ASTRAMICRO"", ""bull_run_score"": 51.23, ""label"": ""EMERGING"", ""purity_score"": 0.45}, {""symbol"": ""DIVGIITTS"", ""bull_run_score"": 50.62, ""label"": ""EMERGING"", ""purity_score"": 0.45}, {""symbol"": ""AEQUS"", ""bull_run_score"": 50.36, ""label"": ""EMERGING"", ""purity_score"": 0.45}, {""symbol"": ""UNIMECH"", ""bull_run_score"": 50.33, ""label"": ""EMERGING"", ""purity_score"": 0.45}]",2026-07-03
DEFENCE_ELECTRONICS,Defence & Aerospace,INDUSTRIAL,"India's indigenisation drive in defence — domestic manufacturers replacing imports in aerospace, missiles, naval systems, and electronics.","Positive indigenisation lists, defence exports target, border tensions","Long order-to-revenue cycles, technology transfer complexity","US defence budget expansion, NATO spending surge","CAPITAL_GOODS,DEFENCE",24,24,0,11,58.39,NEUTRAL,CONSOLIDATING,RETAIL,43.76,8.15,11.91,52.28,14.14,2.26,61.38,45.03,-50.05,-18.16,-4.92,-2.12,"[{""symbol"": ""PARAS"", ""bull_run_score"": 53.13, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""ASTRAMICRO"", ""bull_run_score"": 51.23, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""DIVGIITTS"", ""bull_run_score"": 50.62, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""AEQUS"", ""bull_run_score"": 50.36, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""UNIMECH"", ""bull_run_score"": 50.33, ""label"": ""EMERGING"", ""purity_score"": 1.0}]",2026-07-03
MEDIA_ENTERTAIN,"Media, Content & Entertainment",CONSUMER,OTT consolidation + Indian cinema global expansion + sports IP monetisation + gaming growth — content economy scaling fast.,"OTT subscriber growth, IPL media rights Rs 48K Cr, YouTube India","Content cost inflation, piracy, OTT subscription fatigue","Netflix, Disney streaming content war globally",MEDIA,47,47,0,12,56.09,NEUTRAL,DORMANT,SMART_MONEY,42.33,-2.11,-2.57,18.49,-21.85,1.01,56.29,24.78,-2.81,-85.63,46.16,-1.31,"[{""symbol"": ""SAREGAMA"", ""bull_run_score"": 51.45, ""label"": ""EMERGING"", ""purity_score"": 0.98}, {""symbol"": ""ZEEL"", ""bull_run_score"": 47.9, ""label"": ""EMERGING"", ""purity_score"": 0.98}, {""symbol"": ""PNC"", ""bull_run_score"": 50.6, ""label"": ""EMERGING"", ""purity_score"": 0.88}, {""symbol"": ""ONMOBILE"", ""bull_run_score"": 55.46, ""label"": ""EMERGING"", ""purity_score"": 0.8}, {""symbol"": ""HATHWAY"", ""bull_run_score"": 45.24, ""label"": ""EMERGING"", ""purity_score"": 0.98}]",2026-07-03
GAMING_ESPORTS,Gaming & Digital Entertainment,EMERGING,India 2nd largest mobile gaming market + real-money gaming regulation + esports Olympic roadmap + fantasy sports monetisation.,"450M mobile gamers, GST clarity on real-money gaming, esports recognition","Regulatory overhang (TDS on winnings), addiction concerns, Google Play policies","Sea Limited (Garena), Activision Blizzard Asia gaming expansion",MEDIA,47,47,0,12,55.88,NEUTRAL,DORMANT,SMART_MONEY,42.28,-2.28,-2.68,18.37,-22.11,1.03,56.17,24.32,-2.81,-85.63,46.16,-1.31,"[{""symbol"": ""ONMOBILE"", ""bull_run_score"": 55.46, ""label"": ""EMERGING"", ""purity_score"": 0.4}, {""symbol"": ""HMVL"", ""bull_run_score"": 53.93, ""label"": ""EMERGING"", ""purity_score"": 0.4}, {""symbol"": ""CINEVISTA"", ""bull_run_score"": 51.88, ""label"": ""EMERGING"", ""purity_score"": 0.4}, {""symbol"": ""SAREGAMA"", ""bull_run_score"": 51.45, ""label"": ""EMERGING"", ""purity_score"": 0.4}, {""symbol"": ""PNC"", ""bull_run_score"": 50.6, ""label"": ""EMERGING"", ""purity_score"": 0.4}]",2026-07-03
EV_TRANSITION,Electric Vehicle Revolution,INFRA,"India's shift to electric mobility — EV makers, battery suppliers, charging infrastructure, and ancillaries all in early play.","FAME subsidies, falling battery costs, fuel cost savings","Technology disruption risk, raw material shortage (lithium)",Tesla/BYD supply chain expansion,AUTO,116,116,0,26,50.03,NEUTRAL,CONSOLIDATING,RETAIL,39.47,4.24,6.92,26.19,11.58,1.07,55.13,22.17,-57.83,-16.84,-9.44,3.61,"[{""symbol"": ""CRAFTSMAN"", ""bull_run_score"": 55.56, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""JAYBARMARU"", ""bull_run_score"": 50.78, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""NRBBEARING"", ""bull_run_score"": 50.7, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""ATHERENERG"", ""bull_run_score"": 50.18, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""RML"", ""bull_run_score"": 49.52, ""label"": ""EMERGING"", ""purity_score"": 1.0}]",2026-07-03
SEMICONDUCTOR,Semiconductor & Electronics Mfg,TECHNOLOGY,"India Semiconductor Mission targeting domestic chip fabs — TATA-PSMC fab, Foxconn iPhone scale-up, PCB manufacturing, and electronic components.","India Semiconductor Mission Rs 76K Cr, Apple India exports, PLI electronics","Long gestation (10+ year fab cycle), raw material import dependency","TSMC Taiwan, Samsung Korea fab expansion","CAPITAL_GOODS,DEFENCE",247,247,0,53,49.88,NEUTRAL,EARLY_ROTATION,RETAIL,39.16,5.81,8.42,39.01,0.26,1.0,53.53,21.62,-50.05,-18.16,-4.92,-2.12,"[{""symbol"": ""PARAS"", ""bull_run_score"": 53.13, ""label"": ""EMERGING"", ""purity_score"": 0.4}, {""symbol"": ""ASTRAMICRO"", ""bull_run_score"": 51.23, ""label"": ""EMERGING"", ""purity_score"": 0.4}, {""symbol"": ""DIVGIITTS"", ""bull_run_score"": 50.62, ""label"": ""EMERGING"", ""purity_score"": 0.4}, {""symbol"": ""AEQUS"", ""bull_run_score"": 50.36, ""label"": ""EMERGING"", ""purity_score"": 0.4}, {""symbol"": ""UNIMECH"", ""bull_run_score"": 50.33, ""label"": ""EMERGING"", ""purity_score"": 0.4}]",2026-07-03
HEALTHCARE_EXPANSION,Healthcare & Pharma Growth,HEALTHCARE,"Healthcare spending rising as incomes grow — hospitals, pharma R&D, diagnostics, and health insurance all in structural upcycle.","Post-COVID health awareness, ageing population, insurance penetration","US FDA import alerts, pricing pressure on generics",US Medicare expansion cycle,"HEALTHCARE,PHARMA",168,168,0,52,49.83,NEUTRAL,EARLY_ROTATION,RETAIL,40.47,5.59,13.47,31.97,2.85,1.4,56.23,30.64,-52.29,-20.61,-9.29,6.49,"[{""symbol"": ""AJANTPHARM"", ""bull_run_score"": 55.05, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""EMCURE"", ""bull_run_score"": 53.69, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""CORONA"", ""bull_run_score"": 53.56, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""SHILPAMED"", ""bull_run_score"": 50.2, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""INDSWFTLAB"", ""bull_run_score"": 50.18, ""label"": ""EMERGING"", ""purity_score"": 1.0}]",2026-07-03
HEALTHTECH,Digital Health & Medtech,HEALTHCARE,ABHA health ID ecosystem + teleconsultation boom + diagnostic aggregators + AI radiology — India building digital health backbone.,"ABHA 640M registrations, Ayushman Bharat Digital Mission, AI radiology","Data privacy concerns, regulatory uncertainty, doctor resistance","Teladoc, Veeva Systems, Oscar Health global digital health","HEALTHCARE,PHARMA",168,168,0,52,49.24,NEUTRAL,EARLY_ROTATION,RETAIL,40.45,5.14,12.46,30.76,1.51,1.34,56.02,28.92,-52.29,-20.61,-9.29,6.49,"[{""symbol"": ""MAXHEALTH"", ""bull_run_score"": 42.2, ""label"": ""WATCHLIST"", ""purity_score"": 0.78}, {""symbol"": ""APOLLOHOSP"", ""bull_run_score"": 41.76, ""label"": ""WATCHLIST"", ""purity_score"": 0.78}, {""symbol"": ""FORTIS"", ""bull_run_score"": 40.68, ""label"": ""WATCHLIST"", ""purity_score"": 0.78}, {""symbol"": ""VIMTALABS"", ""bull_run_score"": 48.16, ""label"": ""EMERGING"", ""purity_score"": 0.6}, {""symbol"": ""YATHARTH"", ""bull_run_score"": 47.02, ""label"": ""EMERGING"", ""purity_score"": 0.6}]",2026-07-03
MIDCAP_MOMENTUM,Mid Cap Momentum (5K-25K Cr),FACTOR,"Mid-cap stocks with 52W return >20%, above 200 DMA, volume expansion, and institutional buying — riding the mid-cap outperformance cycle.",Mid-cap alpha vs Nifty 50 when risk appetite is positive,Momentum reversal can be sharp; liquidity thinner than large caps,"NIFTY Midcap Momentum 30, Russell 2000 Momentum factor","AGRICULTURE,AMC,AUTO,BANKING,CAPITAL_GOODS,CEMENT,CHEMICALS,DEFENCE,DIVERSIFIED,ENERGY,FINANCIAL_SERVICES,FMCG,HEALTHCARE,HOSPITALITY,INFRASTRUCTURE,IT,LOGISTICS,MEDIA,METAL,PHARMA,POWER,REALTY,RETAIL,TELECOM,TEXTILES",345,345,0,82,46.22,NEUTRAL,EARLY_ROTATION,RETAIL,38.8,3.64,5.95,26.57,0.8,0.97,53.46,23.54,-54.38,-11.79,-10.68,1.53,"[{""symbol"": ""CGCL"", ""bull_run_score"": 56.85, ""label"": ""EMERGING"", ""purity_score"": 0.65}, {""symbol"": ""CRAFTSMAN"", ""bull_run_score"": 55.56, ""label"": ""EMERGING"", ""purity_score"": 0.65}, {""symbol"": ""AJANTPHARM"", ""bull_run_score"": 55.05, ""label"": ""EMERGING"", ""purity_score"": 0.65}, {""symbol"": ""EMCURE"", ""bull_run_score"": 53.69, ""label"": ""EMERGING"", ""purity_score"": 0.65}, {""symbol"": ""CORONA"", ""bull_run_score"": 53.56, ""label"": ""EMERGING"", ""purity_score"": 0.65}]",2026-07-03
DATA_CENTRE,Data Centres & Cloud,TECHNOLOGY,"Hyperscaler capex (Azure, AWS, Google India) driving massive data centre buildout — AI inference demand requires low-latency local compute; India is a key site.","AI workload growth, hyperscaler India investments, 5G data explosion","Power availability, land cost escalation, hyperscaler concentration risk","Equinix, Digital Realty, Iron Mountain global expansion","IT,MEDIA,TELECOM",171,171,0,25,45.8,BUILDING,EARLY_ROTATION,SMART_MONEY,37.7,0.43,3.82,27.45,-18.92,1.02,50.8,13.94,-45.49,-41.39,7.57,1.8,"[{""symbol"": ""RAMCOSYS"", ""bull_run_score"": 57.93, ""label"": ""EMERGING"", ""purity_score"": 0.45}, {""symbol"": ""EBGNG"", ""bull_run_score"": 57.92, ""label"": ""EMERGING"", ""purity_score"": 0.45}, {""symbol"": ""HFCL"", ""bull_run_score"": 47.7, ""label"": ""EMERGING"", ""purity_score"": 0.5}, {""symbol"": ""IKS"", ""bull_run_score"": 51.49, ""label"": ""EMERGING"", ""purity_score"": 0.45}, {""symbol"": ""TEJASNET"", ""bull_run_score"": 45.68, ""label"": ""EMERGING"", ""purity_score"": 0.5}]",2026-07-03
