sector,ruling_planets,primary_planet,planet_sign,planet_state,planet_retrograde,key_aspects,astro_score,astro_action,astro_reason,moon_phase,eclipse_active,as_of_date
BANKING,Jupiter,Jupiter,Cancer,EXALTED,False,Mercury Conjunction (benefic); Venus Sextile (benefic); Saturn Trine (benefic),100.0,BUY,Jupiter is at peak strength in Cancer and receiving supportive planetary aspects. Favorable astrological conditions -- a planetary tailwind for BANKING stocks.,WAXING_CRESCENT,False,2026-08-17
AMC,"Jupiter, Mercury",Jupiter,Cancer,EXALTED,False,Mercury Conjunction (benefic); Venus Sextile (benefic); Saturn Trine (benefic),82.0,BUY,Jupiter is at peak strength in Cancer and receiving supportive planetary aspects. Favorable astrological conditions -- a planetary tailwind for AMC stocks.,WAXING_CRESCENT,False,2026-08-17
IT,"Rahu, Mercury",Rahu,Aquarius,NEUTRAL,True,Sun Opposition (malefic); Mars Trine (benefic); Uranus Square (malefic),19.4,HOLD,Planetary alignment for IT is mildly positive. Rahu in Aquarius faces no major obstacles. Suitable for holding existing positions; no strong entry or exit signal from astrology.,WAXING_CRESCENT,False,2026-08-17
TECHNOLOGY,"Rahu, Mercury, Uranus",Rahu,Aquarius,NEUTRAL,True,Sun Opposition (malefic); Mars Trine (benefic); Uranus Square (malefic),17.0,HOLD,Planetary alignment for TECHNOLOGY is mildly positive. Rahu in Aquarius faces no major obstacles. Suitable for holding existing positions; no strong entry or exit signal from astrology.,WAXING_CRESCENT,False,2026-08-17
TELECOM,"Mercury, Rahu",Mercury,Cancer,NEUTRAL,False,Moon Sextile (benefic); Venus Sextile (benefic); Jupiter Conjunction (benefic),19.4,HOLD,Planetary alignment for TELECOM is mildly positive. Mercury in Cancer faces no major obstacles. Suitable for holding existing positions; no strong entry or exit signal from astrology.,WAXING_CRESCENT,False,2026-08-17
AUTO,Mars,Mars,Gemini,NEUTRAL,False,Venus Square (malefic); Neptune Square (malefic); Rahu Trine (benefic),-24.8,CAUTION,Mars (ruler of AUTO) in Gemini is under pressure from challenging planetary alignments today. The sector may underperform the broader market. Consider reducing position sizes or tightening stop-losses.,WAXING_CRESCENT,False,2026-08-17
CAPITAL_GOODS,"Mars, Saturn",Mars,Gemini,NEUTRAL,False,Venus Square (malefic); Neptune Square (malefic); Rahu Trine (benefic),-35.4,EXIT,Mars (ruler of CAPITAL_GOODS) in Gemini faces severe stress from multiple adverse planetary positions. Strong astrological headwind -- Vedic astrology signals caution or reduced exposure for CAPITAL_GOODS stocks.,WAXING_CRESCENT,False,2026-08-17
METAL,"Mars, Saturn",Mars,Gemini,NEUTRAL,False,Venus Square (malefic); Neptune Square (malefic); Rahu Trine (benefic),-35.4,EXIT,Mars (ruler of METAL) in Gemini faces severe stress from multiple adverse planetary positions. Strong astrological headwind -- Vedic astrology signals caution or reduced exposure for METAL stocks.,WAXING_CRESCENT,False,2026-08-17
CEMENT,Saturn,Saturn,Pisces,RETROGRADE,True,Moon Opposition (malefic); Mercury Trine (benefic); Venus Opposition (malefic),-46.0,EXIT,Saturn -- the planet governing CEMENT stocks -- is retrograde (moving backward) in Pisces. A retrograde ruling planet weakens sector momentum and signals a higher risk of corrections or consolidation.,WAXING_CRESCENT,False,2026-08-17
CHEMICALS,"Saturn, Mars",Saturn,Pisces,RETROGRADE,True,Moon Opposition (malefic); Mercury Trine (benefic); Venus Opposition (malefic),-35.4,EXIT,Saturn -- the planet governing CHEMICALS stocks -- is retrograde (moving backward) in Pisces. A retrograde ruling planet weakens sector momentum and signals a higher risk of corrections or consolidation.,WAXING_CRESCENT,False,2026-08-17
PHARMA,"Saturn, Sun",Saturn,Pisces,RETROGRADE,True,Moon Opposition (malefic); Mercury Trine (benefic); Venus Opposition (malefic),-24.8,EXIT,Saturn -- the planet governing PHARMA stocks -- is retrograde (moving backward) in Pisces. A retrograde ruling planet weakens sector momentum and signals a higher risk of corrections or consolidation.,WAXING_CRESCENT,False,2026-08-17
HEALTHCARE,"Saturn, Sun",Saturn,Pisces,RETROGRADE,True,Moon Opposition (malefic); Mercury Trine (benefic); Venus Opposition (malefic),-24.8,EXIT,Saturn -- the planet governing HEALTHCARE stocks -- is retrograde (moving backward) in Pisces. A retrograde ruling planet weakens sector momentum and signals a higher risk of corrections or consolidation.,WAXING_CRESCENT,False,2026-08-17
FMCG,"Moon, Venus",Moon,Virgo,NEUTRAL,False,Sun Sextile (benefic); Mercury Sextile (benefic); Saturn Opposition (malefic),-15.7,CAUTION,Moon (ruler of FMCG) in Virgo is under pressure from challenging planetary alignments today. The sector may underperform the broader market. Consider reducing position sizes or tightening stop-losses.,WAXING_CRESCENT,False,2026-08-17
RETAIL,"Moon, Mercury",Moon,Virgo,NEUTRAL,False,Sun Sextile (benefic); Mercury Sextile (benefic); Saturn Opposition (malefic),23.8,HOLD,Planetary alignment for RETAIL is mildly positive. Moon in Virgo faces no major obstacles. Suitable for holding existing positions; no strong entry or exit signal from astrology.,WAXING_CRESCENT,False,2026-08-17
HOSPITALITY,"Moon, Venus",Moon,Virgo,NEUTRAL,False,Sun Sextile (benefic); Mercury Sextile (benefic); Saturn Opposition (malefic),-15.7,CAUTION,Moon (ruler of HOSPITALITY) in Virgo is under pressure from challenging planetary alignments today. The sector may underperform the broader market. Consider reducing position sizes or tightening stop-losses.,WAXING_CRESCENT,False,2026-08-17
